Prediction,Signal,Target_PnL,Strategy_PnL
-0.024740098,0,-0.04610018,0.0
-0.0837678,0,-0.07164476,0.0
-0.11863173,-1,-0.04787651,0.002969944380240188
-0.15001313,-1,0.0,0.0
-0.13957277,-1,0.0,0.0
-0.014852163,0,0.0,0.0
0.13466999,0,0.0,0.0
0.2653733,0,0.0,0.0
0.25522637,0,-0.005294121,0.0
0.13725276,0,-0.023366755,0.0
0.11072031,0,-0.005618519,0.0
0.08229577,0,-0.020078192,0.0
0.12066056,0,0.0,0.0
0.041055452,0,0.0,0.0
0.0028190461,0,0.0,0.0
-0.015209234,0,0.0,0.0
-0.0047858357,0,0.0,0.0
0.0060511753,0,0.0,0.0
0.009055969,0,-0.064210735,0.0
0.004260457,0,-0.06431274,0.0
-0.0007611607,0,-0.12297077,0.0
-0.06753075,0,-0.14808278,0.0
-0.082914665,0,-0.06795041,0.0
-0.09444609,-1,-0.076483384,0.0
-0.095431775,-1,-0.15644716,0.0
-0.122765236,-1,-0.4363958,0.0
-0.1603843,-1,-0.47601882,0.0
-0.15927805,-1,-0.47763294,0.0
-0.13214964,-1,0.0,0.0
-0.10770797,-1,0.0,0.0
-0.06399075,0,0.0,0.0
-0.0628913,0,-0.47488636,0.0
-0.046379954,0,0.0,0.0
-0.09576119,-1,-0.40036657,0.0
-0.11425246,-1,-0.4842614,0.0
-0.14008631,-1,-0.44690493,0.023205090529908032
-0.16712551,-1,-0.5076962,0.0
-0.22028314,-1,-0.40909162,0.0
-0.25032362,-1,-0.44147465,0.0
-0.27903363,-1,-0.41963878,0.0
-0.22737221,-1,-0.43889046,0.0
-0.2216177,-1,-0.4291999,0.0
-0.14036286,-1,-0.4467237,0.0
-0.12705767,-1,-0.44613105,0.0
-0.0875313,0,-0.47175127,0.0
-0.08392119,0,-0.4597624,0.0
-0.09791174,-1,-0.45405638,0.0
-0.095214814,-1,-0.42231378,0.0
-0.092801094,-1,-0.39005753,0.0
-0.086293735,0,-0.46904653,0.0
-0.08235206,0,0.015190873,0.0
-0.07714036,0,0.0,0.0
-0.043700814,0,0.0,0.0
-0.038631607,0,0.0,0.0
-0.0072158133,0,-0.23485836,0.0
0.009670432,0,-0.20256051,0.0
0.033897974,0,-0.20827058,0.0
0.025244953,0,-0.20144111,0.0
-0.007112971,0,-0.20697466,0.0
-0.03670942,0,-0.1956077,0.0
-0.02748822,0,-0.22495237,0.0
-0.009370858,0,-0.26610243,0.0
0.0013852054,0,-0.261712,0.0
-0.0013981931,0,-0.27571985,0.0
-0.009407585,0,-0.5109949,0.0
-0.0051949923,0,-0.5694837,0.0
-0.0030307034,0,-0.5734103,0.0
0.02515036,0,-0.63382375,0.0
0.04096025,0,-0.6242635,0.0
0.037590005,0,-0.6267037,0.0
-0.0071134977,0,-0.63892287,0.0
-0.036775373,0,-0.6505769,0.0
-0.03911283,0,-0.6776272,0.0
-0.021659577,0,-0.62490547,0.0
-0.018759178,0,-0.6531699,0.0
-0.03860621,0,-0.7125858,0.0
-0.064183034,0,-0.6284954,0.0
-0.067974165,0,-0.6956088,0.0
-0.075155206,0,-0.67601085,0.0
-0.02671302,0,-0.6805085,0.0
-0.003973823,0,-0.6272148,0.0
0.024906876,0,-0.6241173,0.0
-0.01738722,0,-0.6377215,0.0
-0.032734267,0,-0.5551775,0.0
-0.021924641,0,-0.57677627,0.0
0.005443842,0,-0.58487415,0.0
0.014342976,0,-0.56694525,0.0
0.00532545,0,-0.5326706,0.0
0.001818217,0,-0.5369424,0.0
0.0015769344,0,-0.19424544,0.0
-0.0051618936,0,-0.21072872,0.0
0.022524552,0,-0.2688545,0.0
0.0460454,0,-0.2949847,0.0
0.07209033,0,-0.2596038,0.0
0.048989743,0,-0.30112106,0.0
0.028480807,0,-0.27173567,0.0
0.024801278,0,-0.26286355,0.0
0.032797024,0,-0.3032716,0.0
0.040348776,0,-0.2606793,0.0
0.05130837,0,-0.19006184,0.0
0.04948956,0,-0.16081427,0.0
0.04583576,0,-0.1815566,0.0
0.015757635,0,0.0,0.0
0.024274051,0,0.0,0.0
0.03167569,0,0.0,0.0
0.06952093,0,0.0,0.0
0.07988088,0,-0.013950627,0.0
0.08768107,0,0.0,0.0
0.07979151,0,0.0,0.0
0.082116395,0,0.0,0.0
0.083902605,0,0.0,0.0
0.07812124,0,0.0,0.0
0.06554322,0,0.0,0.0
0.053590644,0,0.0,0.0
0.037251487,0,0.0,0.0
0.036328986,0,0.0,0.0
0.03691602,0,0.0,0.0
0.060178734,0,0.05064104,0.0
0.06731398,0,0.015118069,0.0
0.07407655,0,0.0,0.0
0.07217226,0,0.0,0.0
0.06848402,0,0.0,0.0
0.06774504,0,0.0,0.0
0.05507306,0,0.0024116184,0.0
0.049399942,0,0.0,0.0
0.048513055,0,0.0,0.0
0.04872585,0,0.0,0.0
0.05245643,0,0.0,0.0
0.05459364,0,0.0,0.0
0.07535201,0,0.0,0.0
0.09088047,0,0.0,0.0
0.10637794,0,0.0,0.0
0.10225782,0,0.0,0.0
0.09359517,0,0.0,0.0
0.08599156,0,-0.33265296,0.0
0.09065709,0,-0.38490772,0.0
0.088607356,0,-0.38287073,0.0
0.09162481,0,-0.4218701,0.0
0.08384185,0,-0.4137623,0.0
0.08943409,0,-0.18526363,0.0
0.087649345,0,-0.16297874,0.0
0.11062654,0,-0.26621008,0.0
0.13451904,0,-0.23314293,0.0
0.15190275,0,-0.29048586,0.0
0.13492082,0,-0.36894983,0.0
0.10562207,0,-0.39517015,0.0
0.08741531,0,-0.40162018,0.0
0.092382796,0,-0.42442203,0.0
0.09171879,0,-0.46685904,0.0
0.087837465,0,-0.51916105,0.0
0.075683944,0,-0.5207361,0.0
0.08289845,0,-0.48714152,0.0
0.08647501,0,-0.52616763,0.0
0.11146499,0,-0.51954013,0.0
0.14436689,0,0.0,0.0
0.16662751,0,0.0,0.0
0.15315947,0,0.0,0.0
0.117433295,0,0.0,0.0
0.10191146,0,0.0,0.0
0.11102979,0,0.0,0.0
0.11455213,0,0.0,0.0
0.107147686,0,0.0,0.0
0.09191654,0,0.0,0.0
0.0922654,0,0.0,0.0
0.08891281,0,0.0,0.0
0.11139552,0,-0.002364725,0.0
0.12989303,0,-0.059740562,0.0
0.14529173,0,-0.11512321,0.0
0.124848224,0,-0.25107247,0.0
0.0986894,0,-0.27941576,0.0
0.08886312,0,-0.29078862,0.0
0.099291705,0,-0.296561,0.0
0.111925796,0,-0.24260409,0.0
0.10016719,0,-0.20878991,0.0
0.07995639,0,-0.230872,0.0
0.07002165,0,-0.23820706,0.0
0.0692955,0,-0.20775351,0.0
0.08766774,0,-0.119783945,0.0
0.09244705,0,-0.12264782,0.0
0.094985,0,-0.16028184,0.0
0.07997851,0,0.16888824,0.0
0.064913034,0,0.29738864,0.0
0.0600679,0,0.30887035,0.0
0.060025472,0,0.31243393,0.0
0.06037325,0,0.3332866,0.0
0.05203722,0,0.32839125,0.0
0.037686426,0,0.3315589,0.0
0.03640153,0,0.37585476,0.0
